order_id,order_date,customer_name,customer_city,product_name,category_name,brand_name,quantity,list_price,discount,store_name,staff_name,final_revenue,order_year,order_month
6,2016-01-04,Sharyn Hopkins,Baldwinsville,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.07,Baldwin Bikes,Marcelene Boyer,5579.9814,2016,1
7,2016-01-04,Laureen Paul,Bellmore,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,1,529.99,0.07,Baldwin Bikes,Marcelene Boyer,492.8907,2016,1
7,2016-01-04,Laureen Paul,Bellmore,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,1,999.99,0.1,Baldwin Bikes,Marcelene Boyer,899.991,2016,1
7,2016-01-04,Laureen Paul,Bellmore,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429.0,0.1,Baldwin Bikes,Marcelene Boyer,772.2,2016,1
8,2016-01-04,Leslie Higgins,Saratoga Springs,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,Baldwin Bikes,Venita Daniel,256.4905,2016,1
8,2016-01-04,Leslie Higgins,Saratoga Springs,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.07,Baldwin Bikes,Venita Daniel,1115.9814,2016,1
9,2016-01-05,Neil Mccall,San Carlos,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.1,Santa Cruz Bikes,Mireya Copeland,7199.982,2016,1
10,2016-01-05,Alane Munoz,Yonkers,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.1,Baldwin Bikes,Marcelene Boyer,242.991,2016,1
11,2016-01-05,Tarra Guerrero,Auburn,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.05,Baldwin Bikes,Venita Daniel,1709.9904999999999,2016,1
11,2016-01-05,Tarra Guerrero,Auburn,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,2,269.99,0.1,Baldwin Bikes,Venita Daniel,485.982,2016,1
11,2016-01-05,Tarra Guerrero,Auburn,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,Baldwin Bikes,Venita Daniel,959.984,2016,1
12,2016-01-06,Marvin Mullins,San Diego,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.1,Santa Cruz Bikes,Mireya Copeland,5219.982,2016,1
12,2016-01-06,Marvin Mullins,San Diego,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,1,1680.99,0.05,Santa Cruz Bikes,Mireya Copeland,1596.9405,2016,1
13,2016-01-08,Patience Clayton,Niagara Falls,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.1,Baldwin Bikes,Marcelene Boyer,242.991,2016,1
13,2016-01-08,Patience Clayton,Niagara Falls,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429.0,0.05,Baldwin Bikes,Marcelene Boyer,815.0999999999999,2016,1
13,2016-01-08,Patience Clayton,Niagara Falls,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.1,Baldwin Bikes,Marcelene Boyer,1079.982,2016,1
13,2016-01-08,Patience Clayton,Niagara Falls,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,Baldwin Bikes,Marcelene Boyer,1139.981,2016,1
14,2016-01-09,Maribel William,Torrance,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.07,Santa Cruz Bikes,Genna Serrano,437.09069999999997,2016,1
15,2016-01-09,Ellsworth Michael,Carmel,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.07,Baldwin Bikes,Venita Daniel,1022.9813999999999,2016,1
15,2016-01-09,Ellsworth Michael,Carmel,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,Baldwin Bikes,Venita Daniel,1673.9906999999998,2016,1
15,2016-01-09,Ellsworth Michael,Carmel,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,2,449.0,0.05,Baldwin Bikes,Venita Daniel,853.0999999999999,2016,1
15,2016-01-09,Ellsworth Michael,Carmel,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.2,Baldwin Bikes,Venita Daniel,479.98400000000004,2016,1
16,2016-01-12,Lea Key,Banning,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.2,Santa Cruz Bikes,Genna Serrano,1439.9920000000002,2016,1
16,2016-01-12,Lea Key,Banning,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,1,269.99,0.05,Santa Cruz Bikes,Genna Serrano,256.4905,2016,1
16,2016-01-12,Lea Key,Banning,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,2,269.99,0.07,Santa Cruz Bikes,Genna Serrano,502.1814,2016,1
16,2016-01-12,Lea Key,Banning,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.07,Santa Cruz Bikes,Genna Serrano,251.0907,2016,1
17,2016-01-12,Sindy Anderson,Pomona,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,Santa Cruz Bikes,Genna Serrano,1673.9906999999998,2016,1
17,2016-01-12,Sindy Anderson,Pomona,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,1,299.99,0.1,Santa Cruz Bikes,Genna Serrano,269.99100000000004,2016,1
17,2016-01-12,Sindy Anderson,Pomona,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.1,Santa Cruz Bikes,Genna Serrano,1188.891,2016,1
17,2016-01-12,Sindy Anderson,Pomona,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,Santa Cruz Bikes,Genna Serrano,959.984,2016,1
18,2016-01-14,Lanita Burton,Coachella,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,2,749.99,0.2,Santa Cruz Bikes,Genna Serrano,1199.9840000000002,2016,1
18,2016-01-14,Lanita Burton,Coachella,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,Santa Cruz Bikes,Genna Serrano,256.4905,2016,1
18,2016-01-14,Lanita Burton,Coachella,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,Santa Cruz Bikes,Genna Serrano,3599.991,2016,1
18,2016-01-14,Lanita Burton,Coachella,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.05,Santa Cruz Bikes,Genna Serrano,949.981,2016,1
18,2016-01-14,Lanita Burton,Coachella,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.1,Santa Cruz Bikes,Genna Serrano,5399.982,2016,1
19,2016-01-14,Norine Huffman,Encino,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1,1549.0,0.07,Santa Cruz Bikes,Mireya Copeland,1440.57,2016,1
19,2016-01-14,Norine Huffman,Encino,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.2,Santa Cruz Bikes,Mireya Copeland,4799.9839999999995,2016,1
20,2016-01-14,Randee Pitts,Canyon Country,Trek Conduit+ - 2016,Electric Bikes,Trek,1,2999.99,0.07,Santa Cruz Bikes,Mireya Copeland,2789.9907,2016,1
20,2016-01-14,Randee Pitts,Canyon Country,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549.0,0.07,Santa Cruz Bikes,Mireya Copeland,2881.14,2016,1
21,2016-01-15,Neoma Daugherty,Mount Vernon,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.05,Baldwin Bikes,Marcelene Boyer,256.4905,2016,1
21,2016-01-15,Neoma Daugherty,Mount Vernon,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429.0,0.1,Baldwin Bikes,Marcelene Boyer,386.1,2016,1
21,2016-01-15,Neoma Daugherty,Mount Vernon,Surly Straggler - 2016,Cyclocross Bicycles,Surly,1,1549.0,0.07,Baldwin Bikes,Marcelene Boyer,1440.57,2016,1
22,2016-01-16,Tangela Hurley,Campbell,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,2,529.99,0.2,Santa Cruz Bikes,Mireya Copeland,847.984,2016,1
22,2016-01-16,Tangela Hurley,Campbell,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.05,Santa Cruz Bikes,Mireya Copeland,256.4905,2016,1
23,2016-01-16,Drucilla Gilliam,Santa Clara,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.05,Santa Cruz Bikes,Mireya Copeland,5509.981,2016,1
23,2016-01-16,Drucilla Gilliam,Santa Clara,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.1,Santa Cruz Bikes,Mireya Copeland,539.9820000000001,2016,1
23,2016-01-16,Drucilla Gilliam,Santa Clara,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.2,Santa Cruz Bikes,Mireya Copeland,215.99200000000002,2016,1
24,2016-01-18,Ashton Lott,Floral Park,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.1,Baldwin Bikes,Venita Daniel,1799.982,2016,1
24,2016-01-18,Ashton Lott,Floral Park,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,2,449.0,0.07,Baldwin Bikes,Venita Daniel,835.14,2016,1
25,2016-01-18,Sam Lester,Baldwin,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.2,Baldwin Bikes,Marcelene Boyer,479.98400000000004,2016,1
25,2016-01-18,Sam Lester,Baldwin,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549.0,0.2,Baldwin Bikes,Marcelene Boyer,2478.4,2016,1
25,2016-01-18,Sam Lester,Baldwin,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.2,Baldwin Bikes,Marcelene Boyer,215.99200000000002,2016,1
25,2016-01-18,Sam Lester,Baldwin,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,1,269.99,0.2,Baldwin Bikes,Marcelene Boyer,215.99200000000002,2016,1
25,2016-01-18,Sam Lester,Baldwin,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,1,269.99,0.1,Baldwin Bikes,Marcelene Boyer,242.991,2016,1
26,2016-01-18,Jackeline Colon,Wappingers Falls,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.05,Baldwin Bikes,Venita Daniel,3799.9904999999994,2016,1
26,2016-01-18,Jackeline Colon,Wappingers Falls,Ritchey Timberwolf Frameset - 2016,Mountain Bikes,Ritchey,1,749.99,0.2,Baldwin Bikes,Venita Daniel,599.9920000000001,2016,1
26,2016-01-18,Jackeline Colon,Wappingers Falls,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,1,549.99,0.2,Baldwin Bikes,Venita Daniel,439.992,2016,1
26,2016-01-18,Jackeline Colon,Wappingers Falls,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.07,Baldwin Bikes,Venita Daniel,502.1814,2016,1
27,2016-01-19,Pamala Henry,Bronx,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.2,Baldwin Bikes,Venita Daniel,1056.7920000000001,2016,1
27,2016-01-19,Pamala Henry,Bronx,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449.0,0.2,Baldwin Bikes,Venita Daniel,359.20000000000005,2016,1
27,2016-01-19,Pamala Henry,Bronx,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.07,Baldwin Bikes,Venita Daniel,1115.9814,2016,1
27,2016-01-19,Pamala Henry,Bronx,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.07,Baldwin Bikes,Venita Daniel,1673.9906999999998,2016,1
28,2016-01-19,Eleni Gordon,Richmond Hill,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.05,Baldwin Bikes,Marcelene Boyer,1254.9405,2016,1
28,2016-01-19,Eleni Gordon,Richmond Hill,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.2,Baldwin Bikes,Marcelene Boyer,6399.984,2016,1
28,2016-01-19,Eleni Gordon,Richmond Hill,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.1,Baldwin Bikes,Marcelene Boyer,485.982,2016,1
28,2016-01-19,Eleni Gordon,Richmond Hill,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.05,Baldwin Bikes,Marcelene Boyer,446.4905,2016,1
29,2016-01-20,Laureen Barry,Orchard Park,Electra Townie Original 21D - 2016,Comfort Bicycles,Electra,2,549.99,0.05,Baldwin Bikes,Marcelene Boyer,1044.981,2016,1
29,2016-01-20,Laureen Barry,Orchard Park,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.2,Baldwin Bikes,Marcelene Boyer,375.992,2016,1
29,2016-01-20,Laureen Barry,Orchard Park,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.1,Baldwin Bikes,Marcelene Boyer,485.982,2016,1
29,2016-01-20,Laureen Barry,Orchard Park,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,1,1799.99,0.2,Baldwin Bikes,Marcelene Boyer,1439.9920000000002,2016,1
29,2016-01-20,Laureen Barry,Orchard Park,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Cruisers Bicycles,Electra,2,269.99,0.05,Baldwin Bikes,Marcelene Boyer,512.981,2016,1
30,2016-01-20,Yvone Guerrero,Merrick,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,1,599.99,0.05,Baldwin Bikes,Marcelene Boyer,569.9905,2016,1
30,2016-01-20,Yvone Guerrero,Merrick,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429.0,0.07,Baldwin Bikes,Marcelene Boyer,398.96999999999997,2016,1
30,2016-01-20,Yvone Guerrero,Merrick,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449.0,0.1,Baldwin Bikes,Marcelene Boyer,404.1,2016,1
30,2016-01-20,Yvone Guerrero,Merrick,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,1,2899.99,0.1,Baldwin Bikes,Marcelene Boyer,2609.991,2016,1
30,2016-01-20,Yvone Guerrero,Merrick,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.1,Baldwin Bikes,Marcelene Boyer,7199.982,2016,1
31,2016-01-20,Edgar Quinn,Harlingen,Surly Straggler 650b - 2016,Cyclocross Bicycles,Surly,2,1680.99,0.05,Rowlett Bikes,Kali Vargas,3193.881,2016,1
31,2016-01-20,Edgar Quinn,Harlingen,Trek Conduit+ - 2016,Electric Bikes,Trek,2,2999.99,0.2,Rowlett Bikes,Kali Vargas,4799.9839999999995,2016,1
32,2016-01-21,Kimbery Nieves,San Carlos,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,Santa Cruz Bikes,Genna Serrano,3347.9813999999997,2016,1
32,2016-01-21,Kimbery Nieves,San Carlos,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.07,Santa Cruz Bikes,Genna Serrano,1022.9813999999999,2016,1
32,2016-01-21,Kimbery Nieves,San Carlos,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.1,Santa Cruz Bikes,Genna Serrano,899.9820000000001,2016,1
33,2016-01-21,Verona O'neill,Selden,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,2,299.99,0.07,Baldwin Bikes,Marcelene Boyer,557.9814,2016,1
33,2016-01-21,Verona O'neill,Selden,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,Baldwin Bikes,Marcelene Boyer,3599.991,2016,1
34,2016-01-22,Sarai Mckee,Buffalo,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.07,Baldwin Bikes,Marcelene Boyer,3347.9813999999997,2016,1
34,2016-01-22,Sarai Mckee,Buffalo,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549.0,0.1,Baldwin Bikes,Marcelene Boyer,2788.2000000000003,2016,1
34,2016-01-22,Sarai Mckee,Buffalo,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,429.0,0.2,Baldwin Bikes,Marcelene Boyer,686.4000000000001,2016,1
35,2016-01-22,Neville Mcclain,West Hempstead,Pure Cycles Western 3-Speed - Women's - 2015/2016,Cruisers Bicycles,Pure Cycles,1,449.0,0.05,Baldwin Bikes,Venita Daniel,426.54999999999995,2016,1
35,2016-01-22,Neville Mcclain,West Hempstead,Electra Townie Original 7D EQ - Women's - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,Baldwin Bikes,Venita Daniel,1139.981,2016,1
35,2016-01-22,Neville Mcclain,West Hempstead,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.2,Baldwin Bikes,Venita Daniel,1056.7920000000001,2016,1
35,2016-01-22,Neville Mcclain,West Hempstead,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.07,Baldwin Bikes,Venita Daniel,502.1814,2016,1
35,2016-01-22,Neville Mcclain,West Hempstead,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.07,Baldwin Bikes,Venita Daniel,251.0907,2016,1
36,2016-01-23,Shantel Gregory,West Islip,Trek Conduit+ - 2016,Electric Bikes,Trek,1,2999.99,0.07,Baldwin Bikes,Marcelene Boyer,2789.9907,2016,1
36,2016-01-23,Shantel Gregory,West Islip,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.05,Baldwin Bikes,Marcelene Boyer,1254.9405,2016,1
36,2016-01-23,Shantel Gregory,West Islip,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.2,Baldwin Bikes,Marcelene Boyer,1599.9840000000002,2016,1
37,2016-01-25,Tomika Larson,Woodside,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.05,Baldwin Bikes,Marcelene Boyer,1139.981,2016,1
38,2016-01-25,Lashandra Turner,Long Beach,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,2,3999.99,0.05,Baldwin Bikes,Venita Daniel,7599.980999999999,2016,1
38,2016-01-25,Lashandra Turner,Long Beach,Electra Girl's Hawaii 1 (20-inch) - 2015/2016,Children Bicycles,Electra,1,299.99,0.07,Baldwin Bikes,Venita Daniel,278.9907,2016,1
38,2016-01-25,Lashandra Turner,Long Beach,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,1,499.99,0.2,Baldwin Bikes,Venita Daniel,399.992,2016,1
38,2016-01-25,Lashandra Turner,Long Beach,Surly Straggler - 2016,Cyclocross Bicycles,Surly,2,1549.0,0.1,Baldwin Bikes,Venita Daniel,2788.2000000000003,2016,1
38,2016-01-25,Lashandra Turner,Long Beach,Electra Townie Original 21D - 2016,Comfort Bicycles,Electra,1,549.99,0.07,Baldwin Bikes,Venita Daniel,511.49069999999995,2016,1
39,2016-01-25,Travis Whitley,Saint Albans,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,2,269.99,0.2,Baldwin Bikes,Venita Daniel,431.98400000000004,2016,1
39,2016-01-25,Travis Whitley,Saint Albans,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,2,599.99,0.2,Baldwin Bikes,Venita Daniel,959.984,2016,1
39,2016-01-25,Travis Whitley,Saint Albans,Surly Wednesday Frameset - 2016,Mountain Bikes,Surly,2,999.99,0.05,Baldwin Bikes,Venita Daniel,1899.981,2016,1
39,2016-01-25,Travis Whitley,Saint Albans,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,1,529.99,0.1,Baldwin Bikes,Venita Daniel,476.99100000000004,2016,1
40,2016-01-27,Darren Witt,Coachella,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429.0,0.2,Santa Cruz Bikes,Genna Serrano,343.20000000000005,2016,1
40,2016-01-27,Darren Witt,Coachella,Trek Remedy 29 Carbon Frameset - 2016,Mountain Bikes,Trek,2,1799.99,0.2,Santa Cruz Bikes,Genna Serrano,2879.9840000000004,2016,1
41,2016-01-27,Ingeborg Ellison,Ithaca,Heller Shagamaw Frame - 2016,Mountain Bikes,Heller,1,1320.99,0.1,Baldwin Bikes,Marcelene Boyer,1188.891,2016,1
41,2016-01-27,Ingeborg Ellison,Ithaca,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,2,449.0,0.2,Baldwin Bikes,Marcelene Boyer,718.4000000000001,2016,1
41,2016-01-27,Ingeborg Ellison,Ithaca,Electra Townie Original 7D EQ - 2016,Comfort Bicycles,Electra,2,599.99,0.2,Baldwin Bikes,Marcelene Boyer,959.984,2016,1
42,2016-01-27,Corene Swanson,Rego Park,Pure Cycles William 3-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,449.0,0.05,Baldwin Bikes,Venita Daniel,426.54999999999995,2016,1
43,2016-01-27,Elana Miles,Liverpool,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,2,269.99,0.1,Baldwin Bikes,Venita Daniel,485.982,2016,1
43,2016-01-27,Elana Miles,Liverpool,Electra Townie Original 21D - 2016,Cruisers Bicycles,Electra,2,549.99,0.05,Baldwin Bikes,Venita Daniel,1044.981,2016,1
44,2016-01-28,Olympia Figueroa,Hopewell Junction,Trek Slash 8 27.5 - 2016,Mountain Bikes,Trek,1,3999.99,0.1,Baldwin Bikes,Venita Daniel,3599.991,2016,1
44,2016-01-28,Olympia Figueroa,Hopewell Junction,Electra Townie Original 7D EQ - 2016,Cruisers Bicycles,Electra,1,599.99,0.05,Baldwin Bikes,Venita Daniel,569.9905,2016,1
45,2016-01-28,Carissa Cross,Huntington Station,Trek Fuel EX 8 29 - 2016,Mountain Bikes,Trek,2,2899.99,0.2,Baldwin Bikes,Venita Daniel,4639.9839999999995,2016,1
45,2016-01-28,Carissa Cross,Huntington Station,Electra Girl's Hawaii 1 (16-inch) - 2015/2016,Children Bicycles,Electra,1,269.99,0.07,Baldwin Bikes,Venita Daniel,251.0907,2016,1
45,2016-01-28,Carissa Cross,Huntington Station,Electra Cruiser 1 (24-Inch) - 2016,Children Bicycles,Electra,2,269.99,0.05,Baldwin Bikes,Venita Daniel,512.981,2016,1
46,2016-01-29,Eldridge Greer,Central Islip,Pure Cycles Vine 8-Speed - 2016,Cruisers Bicycles,Pure Cycles,1,429.0,0.1,Baldwin Bikes,Venita Daniel,386.1,2016,1
47,2016-01-29,Joshua Berg,Ossining,Surly Ice Cream Truck Frameset - 2016,Mountain Bikes,Surly,1,469.99,0.05,Baldwin Bikes,Venita Daniel,446.4905,2016,1
47,2016-01-29,Joshua Berg,Ossining,Electra Moto 1 - 2016,Cruisers Bicycles,Electra,1,529.99,0.1,Baldwin Bikes,Venita Daniel,476.99100000000004,2016,1
47,2016-01-29,Joshua Berg,Ossining,Electra Townie Original 7D - 2015/2016,Comfort Bicycles,Electra,2,499.99,0.07,Baldwin Bikes,Venita Daniel,929.9814,2016,1
47,2016-01-29,Joshua Berg,Ossining,Electra Cruiser 1 (24-Inch) - 2016,Cruisers Bicycles,Electra,1,269.99,0.2,Baldwin Bikes,Venita Daniel,215.99200000000002,2016,1
